지역,분류,카테고리별 순위,상호명,적용키워드,검색량,대표이미지URL,상호명(영어),
마곡,쇼핑/문화,쇼핑/문화 1위,스페이스K 서울,마곡스페이스,20,http://imgnews.naver.net/image/018/2020/09/15/0004737318_001_20200915104006929.jpg,Space K Seoul,"스페이스K 서울': 'Space K Seoul',"
마곡,쇼핑/문화,쇼핑/문화 2위,방구방구문방구,마곡방구방구문방구,20,https://thumbnail.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/d67e/de8f14b0e06470e9fd4ab21d34def4aa2090c8c7071ce8530a231e8e5610.JPG,Banggu Banggu Stationery,"방구방구문방구': 'Banggu Banggu Stationery',"
마곡,식당/맛집,식당/맛집 1위,산청숯불가든 마곡,마곡산청숯불가든,1660,https://d2uja84sd90jmv.cloudfront.net/posts/h7r7vmH7RwktlqfOOu66LQ/ms.jpg,Sancheong Charcoal Garden Magok,"산청숯불가든 마곡': 'Sancheong Charcoal Garden Magok',"
마곡,식당/맛집,식당/맛집 2위,거궁 마곡점,마곡거궁,1240,https://ldb-phinf.pstatic.net/20210522_275/1621656887123r5TBx_JPEG/xOzgRhZFBOo_tzaWHy9ACFgv.jpg,Geogung Magok,"거궁 마곡점': 'Geogung Magok',"
마곡,식당/맛집,식당/맛집 3위,일품 마곡점,마곡일품,950,https://pup-post-phinf.pstatic.net/MjAyNTEwMDJfMTkz/MDAxNzU5Mzk1OTMwNzE2.BmsMde1eeWSxHozvK2Rbi39i5352A8cauofR2p06sJIg.iaJG_kuvvAvYLhHJa-ErbWXSQ8vgOIwU_a8ZQ8D_goQg.JPEG/42CAAAB5-37F8-40FB-A2BF-AA95D3DC494C.jpg,Ilpum Magok,"일품 마곡점': 'Ilpum Magok',"
마곡,식당/맛집,식당/맛집 4위,마곡돈탐구소,마곡돈탐구소,950,https://d12zq4w4guyljn.cloudfront.net/20241027042301_photo1_711ea3bbb320.webp,Magok Don Tamguso,"마곡돈탐구소': 'Magok Don Tamguso',"
마곡,식당/맛집,식당/맛집 5위,마곡금고깃집,마곡금고깃집,920,https://d12zq4w4guyljn.cloudfront.net/20240929095050_photo2_7a38736fd26c.webp,Magok Gold Meat House,"마곡금고깃집': 'Magok Gold Meat House',"
마곡,식당/맛집,식당/맛집 6위,마곡상해루,마곡상해루,850,https://pup-post-phinf.pstatic.net/MjAyNTEyMjlfMjk4/MDAxNzY2OTk4NjI2MDE5.5l3i5236IOCVWPB5Dsp6BjPWMKIQQZXdI78EmmvNYYUg.fyhb-Fi3m5fR-MCWuylhVmJCBP_FJHuflovTmMHQcgQg.JPEG/7E43EA9A-8CE6-4F4A-A24E-6A0B7AFC418A.jpg,Magok Shanghairu,"마곡상해루': 'Magok Shanghairu',"
마곡,식당/맛집,식당/맛집 7위,마곡숙성도,마곡숙성도,760,https://pup-post-phinf.pstatic.net/MjAyNjAzMTVfMjQy/MDAxNzczNTg0MDYxOTQz.7rWeEUSdewHItZ-VQhwv2Ku7pBJKUFVXlLUH6KIQuZ8g.7ANrSb5TivgM8Gg7V5TgMEcW4o923pku-rMigdxNqqkg.JPEG/POST_IMAGE_ENCODING_20260315_231420_167.jpg,Magok Suksungdo,"마곡숙성도': 'Magok Suksungdo',"
마곡,식당/맛집,식당/맛집 8위,로마옥 마곡,마곡로마옥,720,https://i.pinimg.com/736x/69/77/00/6977005fc7fc097903c6426b94f1ba9b.jpg,Romaok Magok,"로마옥 마곡': 'Romaok Magok',"
마곡,식당/맛집,식당/맛집 9위,라우라,마곡라우라,710,https://ldb-phinf.pstatic.net/20231010_284/1696866749662Uxdic_JPEG/%B8%DE%C0%CE%C0%FC%B0%E6.jpg,Laura,"라우라': 'Laura',"
마곡,식당/맛집,식당/맛집 10위,목로,마곡목로,690,https://pup-post-phinf.pstatic.net/MjAyNTEyMThfMjYx/MDAxNzY2MDQ4MzM0NTI0.Bu2vYAUFy5OCknKd2OU-yYkiyYSb0OwZnY2S5sIv734g.1T4gtJfTLMJOR65eeZ7vPQbxNiLEDQJXJBBLPH5yeysg.JPEG/47A5C84A-32EF-4105-AAE2-8A39356228AE.jpg,Mokro,"목로': 'Mokro',"
마곡,카페/베이커리,카페/베이커리 1위,어나더사이드,마곡어나더사이드,580,https://pup-post-phinf.pstatic.net/MjAyNTExMTdfODIg/MDAxNzYzMzE0NzIwMTky.wSAs8gMksSGQoaCIJuxnhNNWQw5eWmg22BzhBvfPuKwg.QZsNm2r1GArSBcrr0VDhLmtI1f2t04pw8zQZn2nu2sUg.JPEG/47BC05FF-D78C-4DAA-87B5-3F70F052C9E4.jpg,Another Side,"어나더사이드': 'Another Side',"
마곡,카페/베이커리,카페/베이커리 2위,베이글리스트,마곡베이글리스트,500,https://ldb-phinf.pstatic.net/20240627_285/1719476743411md5dK_JPEG/22.jpg,Bagel List,"베이글리스트': 'Bagel List',"
마곡,카페/베이커리,카페/베이커리 3위,타르데마 베이커리 우장산점,마곡타르데마,300,https://d12zq4w4guyljn.cloudfront.net/750_750_20251006104709_photo1_dbd34f76e37f.webp,Tardema Bakery Ujangsan,"타르데마 베이커리 우장산점': 'Tardema Bakery Ujangsan',"
마곡,카페/베이커리,카페/베이커리 4위,Bakery LUNE (베이커리룬),마곡베이커리룬,250,https://blog.kakaocdn.net/dn/bWJR68/btrjTZCstj2/KcRpHGUAeCtbRssF6nm8p1/img.jpg,Bakery LUNE,"Bakery LUNE (베이커리룬)': 'Bakery LUNE',"
마곡,카페/베이커리,카페/베이커리 5위,고드니,마곡고드니,230,https://ldb-phinf.pstatic.net/20240501_224/1714564223611rjIBh_JPEG/IMG_6889.jpeg,Godny,"고드니': 'Godny',"
마곡,카페/베이커리,카페/베이커리 6위,파리크라상 이대서울병원점,마곡파리크라상,200,https://pup-post-phinf.pstatic.net/MjAyNTEyMjBfMTYz/MDAxNzY2MjM5OTA4ODI0.2Hka2Z0_bh9N0yoA6IuvZWlUNSuu2SN_yL0pA9rmiMYg.TgxQpdTFGVVykbI9JAsCcrDrcPxOnEeAHlnE7Npk7Z8g.JPEG/POST_IMAGE_ENCODING_20251220_231135_701.jpg,Paris Croissant Ewha Womans Univ. Seoul Hospital,"파리크라상 이대서울병원점': 'Paris Croissant Ewha Womans Univ. Seoul Hospital',"
마곡,카페/베이커리,카페/베이커리 7위,르와조,마곡르와조,180,https://pup-post-phinf.pstatic.net/MjAyNjAzMjhfMjY0/MDAxNzc0Njk2NDk0MTQw.zWtvY1LziwMbuan6yZMQw07GC96RmbeRu4u0J7s2Qukg.CL0DXRTCFrl7F5IkSckZ820h5ie0hAhvAiI08Fl4Mi0g.JPEG/F48CC8B2-97C3-4B50-8EBB-66D9B10187D9.jpg,L'oiseau,"르와조': 'L'oiseau',"
마곡,카페/베이커리,카페/베이커리 8위,라크루뜨서울 본점,마곡라크루뜨,160,https://pup-post-phinf.pstatic.net/MjAyNTA4MjBfMjUg/MDAxNzU1NjYxMDQ3Mjk3.KhBCrnAhylG8FpskQoMNCvY3Qo5y82GnO2VhgGnr88Ig.K7jkAd4GWMj-QB9TfFUhqnUDt5IN1wrHsA1SXfeMACEg.JPEG/F62892E7-7EE0-4EE2-9974-563B1A65229A.jpg,La Croute Seoul Main Store,"라크루뜨서울 본점': 'La Croute Seoul Main Store',"
마곡,카페/베이커리,카페/베이커리 9위,브릭샌드 원그로브점 Bricksand Onegrove,마곡브릭샌드,160,https://pup-post-phinf.pstatic.net/MjAyNTExMTBfMjg1/MDAxNzYyNzQwMzg3MTA1.QpFJWwlvNSxMYYEqCvwoC00rWkOBbYc4n-W5IZkt9Nwg.CnLNH5DgUrphgFQdYsv1FU2leEa5MW8JlhK8qqHXFbwg.JPEG/02E2B4F6-F879-40C3-A8B1-4851FFFB7C40.jpg,Bricksand Onegrove,"브릭샌드 원그로브점 Bricksand Onegrove': 'Bricksand Onegrove',"
마곡,카페/베이커리,카페/베이커리 10위,마곡 카페 디프커피,마곡디프커피,140,https://ldb-phinf.pstatic.net/20241113_61/1731487047836YDxxX_JPEG/KakaoTalk_20241113_173651541.jpg,Magok Cafe Deep Coffee,"마곡 카페 디프커피': 'Magok Cafe Deep Coffee',"
천호,쇼핑/문화,쇼핑/문화 1위,뉴발란스 키즈 2001아울렛 천호점,천호뉴발란스,110,https://ldb-phinf.pstatic.net/20240513_147/1715562838459Nl8E5_JPEG/KakaoTalk_20240513_101031344.jpg,New Balance Kids 2001 Outlet Cheonho,"뉴발란스 키즈 2001아울렛 천호점': 'New Balance Kids 2001 Outlet Cheonho',"
천호,쇼핑/문화,쇼핑/문화 2위,현대백화점 천호점,천호현대백화,20,http://imgnews.naver.net/image/015/2013/10/29/201310280236a_01.7983790.1_59_20131029100003.jpg,Hyundai Department Store Cheonho,"현대백화점 천호점': 'Hyundai Department Store Cheonho',"
천호,쇼핑/문화,쇼핑/문화 3위,서울 풍납동 토성,천호풍납동,20,http://imgnews.naver.net/image/009/2018/01/26/0004090271_001_20180126140609278.jpg,Seoul Pungnap-dong Fortress,"서울 풍납동 토성': 'Seoul Pungnap-dong Fortress',"
천호,쇼핑/문화,쇼핑/문화 4위,파크랜드,천호파크랜드,20,http://imgnews.naver.net/image/5233/2019/04/16/0000298258_001_20190416112808145.png,Parkland,"파크랜드': 'Parkland',"
천호,쇼핑/문화,쇼핑/문화 5위,송포어스,천호송포어스,20,https://ldb-phinf.pstatic.net/20220223_132/1645581818438IwIXj_JPEG/%BC%DB%C6%F7%BE%EE%BD%BA_%C0%CE%C5%D7%B8%AE%BE%EE_0002.jpg,Song For Us,"송포어스': 'Song For Us',"
천호,식당/맛집,식당/맛집 1위,천호경송,천호경송,1730,https://ldb-phinf.pstatic.net/20230922_236/1695374608341QYKhU_JPEG/KakaoTalk_20230922_172751078.jpg,Cheonho Gyeongsong,"천호경송': 'Cheonho Gyeongsong',"
천호,식당/맛집,식당/맛집 2위,천호닭곰탕,천호닭곰탕,1590,https://d12zq4w4guyljn.cloudfront.net/20250803100001_photo1_25fdbbc86c01.webp,Cheonho Chicken Soup,"천호닭곰탕': 'Cheonho Chicken Soup',"
천호,식당/맛집,식당/맛집 3위,오징어포차,천호오징어포차,1590,https://d12zq4w4guyljn.cloudfront.net/20260301114700_photo1_d2aa4a257e69.webp,Squid Pocha,"오징어포차': 'Squid Pocha',"
천호,식당/맛집,식당/맛집 4위,풀팬,천호풀팬,880,https://img.siksinhot.com/place/1526829344155309.jpg,Full Pan,"풀팬': 'Full Pan',"
천호,식당/맛집,식당/맛집 5위,군산식당,천호군산식당,740,https://d12zq4w4guyljn.cloudfront.net/20251015031529837_photo_eed078debe0f.webp,Gunsan Restaurant,"군산식당': 'Gunsan Restaurant',"
천호,식당/맛집,식당/맛집 6위,천호돈,천호돈,730,http://imgnews.naver.net/image/5090/2014/08/27/20140827094857577104_59_20140827095003.jpg,Cheonho Don,"천호돈': 'Cheonho Don',"
천호,식당/맛집,식당/맛집 7위,푸지미곱창,천호푸지미곱창,690,https://d12zq4w4guyljn.cloudfront.net/20251123111337_photo1_1f3629126da3.webp,Pujimi Gopchang,"푸지미곱창': 'Pujimi Gopchang',"
천호,식당/맛집,식당/맛집 8위,천호대팔이네,천호대팔이네,680,https://d12zq4w4guyljn.cloudfront.net/20260127125529_photo1_1ad612fcd288.webp,Cheonho Daepaline,"천호대팔이네': 'Cheonho Daepaline',"
천호,식당/맛집,식당/맛집 9위,로니로티천호점,천호로니로티,640,https://pup-post-phinf.pstatic.net/MjAyNjAxMTNfMTM4/MDAxNzY4MzA1MDgxNzM3.m63VqLDOQm4WJTvZmtTY9T19EnGjp2vSdh_Lkw2fGAEg.iDDKleLNPfvQQmBJ0Fdbl3TVajKWrckvmM1cGrxDbRYg.JPEG/POST_IMAGE_ENCODING_20260113_205120_054.jpg,Loni Lottie Cheonho,"로니로티천호점': 'Loni Lottie Cheonho',"
천호,식당/맛집,식당/맛집 10위,안녕식당,천호안녕식당,630,https://img.theqoo.net/img/RmRSU.jpg,Annyeong Restaurant,"안녕식당': 'Annyeong Restaurant',"
천호,카페/베이커리,카페/베이커리 1위,헤르츠로그,천호헤르츠로그,3370,https://d12zq4w4guyljn.cloudfront.net/20250228032133229_photo_75d97bd9c539.webp,Herzlog,"헤르츠로그': 'Herzlog',"
천호,카페/베이커리,카페/베이커리 2위,천호하츠베이커리,천호하츠베이커리,320,https://d12zq4w4guyljn.cloudfront.net/20251028092007_photo5_69bc35ed1eb7.webp,Cheonho Hatz Bakery,"천호하츠베이커리': 'Cheonho Hatz Bakery',"
